overlay / overlay rw,relatime,lowerdir=/var/lib/docker/overlay2/l/55HG4KQKCSW5ZZOACGVHTXSJP7:/var/lib/docker/overlay2/l/FGAY47C33FW5MJCCCYI335NI3S:/var/lib/docker/overlay2/l/7KHRCDKPOK2KZ5XPV65BY7FGL6:/var/lib/docker/overlay2/l/JQL2GIFLLXIHY76EBJN7QBIW2N:/var/lib/docker/overlay2/l/HIQ3VA2PRKVGTDJXQMQPKX5NYG:/var/lib/docker/overlay2/l/Q7HL2TCXXQGWLKZBNPS4QGZGJA:/var/lib/docker/overlay2/l/2U3WLWWNHYE2ZVJR2T4VHEWOVD:/var/lib/docker/overlay2/l/UTNKRBPURE3LRS4NF3QDLFJPKL:/var/lib/docker/overlay2/l/TGA3WRWFM6PYTS54VTZ7AOM6AG:/var/lib/docker/overlay2/l/2EHGOUWUFN27VXXSCWM7JOULJQ:/var/lib/docker/overlay2/l/Y33BGSVFOUN37IXVXAGLLXZVPV:/var/lib/docker/overlay2/l/ASZQIU6TPOPYPBDDYIIZ35ZSTK,upperdir=/var/lib/docker/overlay2/9d8b5107cc38b06618fe1dfaa05023d48b3458f9bf5083259004236c7466171a/diff,workdir=/var/lib/docker/overlay2/9d8b5107cc38b06618fe1dfaa05023d48b3458f9bf5083259004236c7466171a/work 0 0
proc /proc proc rw,nosuid,nodev,noexec,relatime 0 0
tmpfs /dev tmpfs rw,nosuid,size=65536k,mode=755,inode64 0 0
devpts /dev/pts devpts rw,nosuid,noexec,relatime,gid=5,mode=620,ptmxmode=666 0 0
sysfs /sys sysfs ro,nosuid,nodev,noexec,relatime 0 0
cgroup /sys/fs/cgroup cgroup2 ro,nosuid,nodev,noexec,relatime,nsdelegate,memory_recursiveprot 0 0
mqueue /dev/mqueue mqueue rw,nosuid,nodev,noexec,relatime 0 0
shm /dev/shm tmpfs rw,nosuid,nodev,noexec,relatime,size=65536k,inode64 0 0
/dev/nvme0n1p5 /etc/resolv.conf ext4 rw,relatime,errors=remount-ro 0 0
/dev/nvme0n1p5 /etc/hostname ext4 rw,relatime,errors=remount-ro 0 0
/dev/nvme0n1p5 /etc/hosts ext4 rw,relatime,errors=remount-ro 0 0
/dev/nvme0n1p5 /etc/kafka/secrets ext4 rw,relatime,errors=remount-ro 0 0
/dev/nvme0n1p5 /var/lib/kafka/data ext4 rw,relatime,errors=remount-ro 0 0
proc /proc/bus proc ro,nosuid,nodev,noexec,relatime 0 0
proc /proc/fs proc ro,nosuid,nodev,noexec,relatime 0 0
proc /proc/irq proc ro,nosuid,nodev,noexec,relatime 0 0
proc /proc/sys proc ro,nosuid,nodev,noexec,relatime 0 0
proc /proc/sysrq-trigger proc ro,nosuid,nodev,noexec,relatime 0 0
tmpfs /proc/asound tmpfs ro,relatime,inode64 0 0
tmpfs /proc/acpi tmpfs ro,relatime,inode64 0 0
tmpfs /proc/kcore tmpfs rw,nosuid,size=65536k,mode=755,inode64 0 0
tmpfs /proc/keys tmpfs rw,nosuid,size=65536k,mode=755,inode64 0 0
tmpfs /proc/timer_list tmpfs rw,nosuid,size=65536k,mode=755,inode64 0 0
tmpfs /sys/firmware tmpfs ro,relatime,inode64 0 0
tmpfs /sys/devices/virtual/powercap tmpfs ro,relatime,inode64 0 0
